연번,과정명,기수,구분,주제,기획설명,활용데이터,활용기술,깃허브 주소
20,SK네트웍스 Family AI 캠프,1,교과목실습4,MBTI 성향별 의료정보 제공 챗봇,"의료 관련 질문의 의도를 분류하고 관련 질의응답을 검색하여 정보를 제공하며, MBTI의 T형과 F형 특성에 맞춰 정보 중심 또는 공감 중심의 답변을 생성하는 의료정보 챗봇 구축",,"HTML5, CSS3, JavaScript, TypeScript, Vue.js, Vuetify, GreenSock, Axios, Python, Django, FastAPI, Pandas, NumPy, MySQL, Redis, MongoDB, Multilingual BERT, Transformer, TensorFlow, OpenAI API, FAISS, Docker, Nginx, AWS EC2, GitHub Actions, DLLS, TLS/SSL",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN01-4th-4Team
21,SK네트웍스 Family AI 캠프,1,교과목실습4,주식 뉴스 요약·주가 예측 및 간편매매 서비스,"사용자가 선택한 종목의 관련 뉴스를 수집·요약하고, 뉴스와 금융정보를 활용하여 주가 변동 예측 정보와 간편 매수·매도 기능을 제공하는 주식정보 서비스 구축",,"TypeScript, Vue.js, Vuetify, Axios, Python, Django, MySQL, Redis, FastAPI, LLM, OpenAI API, TensorFlow, Keras, PyTorch, Docker, AWS EC2·S3, GitHub Actions, Socket 통신, TLS/SSL",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN01-4th-5Team
22,SK네트웍스 Family AI 캠프,1,최종프로젝트,AI 기반 개발 프로젝트 관리 및 역량 분석 서비스 Noodle,"GitHub 저장소의 커밋·브랜치 정보와 백로그·이슈·할 일을 통합 관리하고, 팀원 리뷰·설문 및 프로젝트 수행정보를 분석하여 개발 역량과 결과보고서를 제공하는 협업·평가 서비스 구축",,"Python, Django, FastAPI, Vue.js, TypeScript, GitHub OAuth·API, OpenAI API, Docker, Docker Compose",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN01-final-1Team
23,SK네트웍스 Family AI 캠프,1,최종프로젝트,AI 기반 기업분석 및 모의면접 지원 서비스 AIM Sniper,"기업분석 보고서와 AI 모의면접 기능을 제공하고, 설문과 서비스 이용기록을 기반으로 사용자의 취업 준비 과정을 지원하는 맞춤형 취업지원 서비스 구축",,"Python, Django, FastAPI, Vue.js, TypeScript, OpenAI API, Redis, Google·Kakao·Naver OAuth, Docker, Docker Compose",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN01-final-2Team
24,SK네트웍스 Family AI 캠프,1,최종프로젝트,LLM 멀티에이전트 기반 SI 개발 자동화 서비스 SI-Follow,사용자가 입력한 소프트웨어 요구사항을 기반으로 기획·설계·개발·검토·테스트 역할의 LLM 에이전트가 협업하여 코드와 문서를 생성하는 소프트웨어 개발 지원 서비스 구축,,"Python, Django, FastAPI, ChatDev, LLM Multi-Agent, Ollama, Jupyter Notebook, JavaScript, HTML, CSS, Docker, Shell Script",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN01-final-3Team
25,SK네트웍스 Family AI 캠프,1,최종프로젝트,AI 기반 사용자 분석 및 성장전략 코칭 서비스 COOING,"사용자 설문과 챗봇 상담 내용을 분석하여 개인의 특성과 상태를 진단하고, 맞춤형 성장전략과 실행 방향을 제안하는 AI 코칭 서비스 구축",,"Python, Django, FastAPI, Vue.js, TypeScript, AI Client, 챗봇, Google·Kakao·Naver 소셜 로그인, Docker, Docker Compose",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN01-final-4Team
26,SK네트웍스 Family AI 캠프,2,교과목실습1,"지역별 차량 등록 수, 주행량, 정비소 지점 수를 분석해 정비소 추가 설치가 필요한 지역 인사이트를 제공하는 프로젝트","차량은 지속적인 정비가 필요하지만 지역별 차량 수 변화에 맞춰 정비소를 적절히 설치할 필요가 있다는 문제의식에서 시작된 프로젝트입니다. 연도별 차량등록 수 확인, 지역별 차량 주행량 확인, 스피드메이트와 Autooasis 지점 수 비교, FAQ, DB 연결, 크롤링 기능을 구현했습니다. 이를 통해 차량 정비 잠재고객층 유치를 위한 지역별 인사이트 제공을 목표로 합니다.","한국교통공단 용도별 차종별 시군구별 자동차주행거리 데이터, 국토교통부 자동차등록대수현황 시도별 데이터, 스피드메이트 지점찾기 및 오토오아시스 지점찾기 웹 데이터","Python, Pandas, Selenium, MySQL, Streamlit, Folium, matplotlib, Git, GitHub, Visual Studio Code",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN02-1st-1Team
27,SK네트웍스 Family AI 캠프,2,교과목실습1,서울시 전기차 증가에 대응하기 위해 충전소 배치를 최적화하고 배치를 제안하는 프로젝트입니다.,"전기자동차 이용 증가에 대응하고 효율적으로 자원을 활용하기 위해 서울시 충전소 배치 제안을 목표로 합니다. 서울시 자치구별 전기차 등록현황, 충전소 충전량, 충전소 및 전기차 증감률 등의 자료를 참고해 충전소 배치 최적화를 다룹니다. README에서는 최신 데이터 수집의 한계와 지역적 특성 고려의 어려움을 한계로 제시합니다.","서울시 자치구별 전기차 등록현황 CSV, 서울시 충전소의 충전량 CSV, 웹스크래핑으로 수집한 충전소 증감률·전기차 증감률·차종별 배터리 용량 데이터","Python, MySQL, Pandas, Selenium",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN02-1st-2Team
28,SK네트웍스 Family AI 캠프,2,교과목실습1,국내 렌터카 및 카셰어링 데이터를 비교 분석하고 SK렌터카 FAQ를 조회하는 서비스입니다.,"쏘카, 그린카 등 카셰어링 서비스와 기존 렌터카 회사의 데이터를 비교해 SK렌터카 매각 원인과 카셰어링 서비스가 선택받는 이유를 알아보고자 합니다. 주요 기능은 렌터카 업체별 자동차 보유 대수 비교, GPS를 이용한 주요 렌터카 업체 및 보유 수 비교, SK렌터카 FAQ 시스템입니다.","공공데이터포털 전국 렌터카 업체 정보 표준데이터, 공공데이터포털 국토교통부 카셰어링 정보, SK렌터카 FAQ 웹사이트 데이터","Python, Streamlit, 웹 크롤링, 데이터베이스",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN02-1st-3Team
29,SK네트웍스 Family AI 캠프,2,교과목실습1,SK 렌터카 사업의 경쟁력과 재무 건전성을 분석하여 SK Networks의 SK 렌터카 매각 타당성을 검토하는 프로젝트,"자동차 등록 현황 증가 추세와 SK Networks의 SK 렌터카 매각 사실을 바탕으로 렌터카 사업의 경쟁력을 분석하였다. SK 렌터카의 매출 순위, 롯데 렌탈 및 쏘카와의 경쟁 상황, 유동비율 등을 검토하여 매각 결정의 타당성을 판단하는 것을 목표로 한다.",,"Python, MySQL, Streamlit, Visual Studio Code, Discord, GitHub",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN02-1st-4Team
30,SK네트웍스 Family AI 캠프,2,교과목실습1,SK스피드 메이트의 미래 먹거리를 분석하는 프로젝트,"자동차 등록 대수 증감, 자동차 연료별 증감률 변동, 전기차 비중 확대에 따른 필요한 전기차의 정비에 대한 수요가 많을 것으로 예상하게 됨.",스피드메이트 공식 홈페이지 FAQ,"Python, Streamlit, MySQL",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN02-1st-5Team
31,SK네트웍스 Family AI 캠프,2,교과목실습2,구독 서비스 이용 고객들의 이탈 데이터를 분석하여 고객 이탈을 예측하는 머신러닝 모델을 개발하는 프로젝트입니다.,"이 프로젝트는 구독 서비스 이용 고객의 이탈 데이터를 분석해 고객 이탈 여부를 예측하는 모델을 개발하는 것을 목적으로 합니다. 연령대, 분기별 Transaction 타입, 진입 경로별 구독 플랜 타입, Heat Map 등의 시각화를 수행하고 DecisionTree, RandomForest, XGBoost, LightGBM, DNN 등 여러 모델의 성능을 비교했습니다. 최종적으로 LightGBM이 가장 높은 성능을 보였으며, PCA를 통한 차원 축소 시 성능이 하락할 수 있음을 결론으로 제시했습니다.",,"Python, Pandas, scikit-learn, TensorFlow, DecisionTree, RandomForest, XGBoost, LightGBM, DNN, PCA",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN02-2nd-1Team
32,SK네트웍스 Family AI 캠프,2,교과목실습2,Kaggle Telco Customer Churn 데이터셋을 분석하고 머신러닝 모델로 통신사 고객 이탈을 예측하는 프로젝트입니다.,"통신 3사의 고객 이탈 관리 방안에 대한 분석 필요성을 바탕으로, 국내 통신사 고객 데이터 확보가 어려워 Kaggle의 Telco Customer Churn 데이터셋을 활용했습니다. 다양한 머신러닝 모델로 고객 이탈 예측을 수행하고, 교차 검증과 Feature Importance 분석 및 하이퍼파라미터 튜닝을 통해 성능 향상을 확인했습니다. 분석 결과를 바탕으로 부가 서비스 제공 및 장기 고객 우대 전략이 고객 이탈 감소에 도움이 될 수 있음을 제시했습니다.",Kaggle Telco Customer Churn Dataset,"Python, Matplotlib, Pandas, NumPy, scikit-learn, TensorFlow, Keras, LogisticRegression, DecisionTree, RandomForest, GradientBoosting, XGBoost, LightGBM, CatBoost, MLP, Visual Studio Code, Discord",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN02-2nd-2Team
33,SK네트웍스 Family AI 캠프,2,교과목실습2,E-commerce Customer Churn Dataset을 분석해 고객 이탈 여부와 이탈 확률을 예측하는 머신러닝 기반 프로젝트입니다.,"이 프로젝트는 이커머스 고객 이탈 데이터를 활용해 Churn과 관련 있는 특성을 분석하고, 고객 이탈을 예측하는 분류 모델을 찾는 것을 목표로 합니다. 상관계수 분석, 데이터 가공, LogisticRegression·DecisionTree·RandomForest·XGBoost 모델 비교, GridSearchCV를 통한 하이퍼파라미터 탐색을 수행합니다. 최종적으로 Streamlit을 통해 신규 데이터에 대한 고객 이탈 확률을 출력하는 기능을 구현했습니다.",Kaggle E-commerce Customer Churn Dataset,"Python, Pandas, scikit-learn, matplotlib, Streamlit, LogisticRegression, DecisionTree, RandomForest, XGBoost, PCA, KMeans, GridSearchCV, Git, GitHub, Visual Studio Code",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN02-2nd-3Team
34,SK네트웍스 Family AI 캠프,2,교과목실습2,통신사 고객 이탈 데이터를 분석하고 머신러닝 모델로 탈퇴 여부를 예측하여 고객 이탈률 개선 방안을 제안하는 프로젝트,"이 프로젝트는 탈퇴 고객의 특성을 분석하고 이탈 여부를 예측하여 고객 이탈률 개선 방안을 도출하는 것을 목표로 한다. 고객 불만, 사용량, 고객 가치 등과 이탈 여부의 관계를 탐색하고, 여러 지도학습 모델과 K-Means 클러스터링을 적용해 데이터 패턴과 예측 성능을 비교한다. 최종적으로 XGBoost 모델을 선정하고, 분석 결과를 바탕으로 고객 불만 대응 및 데이터 수집 품질 개선 방안을 제안한다.",UCI Machine Learning Repository Iranian Churn Dataset,"Python, Pandas, scikit-learn, StandardScaler, train_test_split, GridSearch, 로지스틱 회귀, 의사결정트리, 랜덤포레스트, 그라디언트 부스팅, K-Means 클러스터링, PCA, XGBoost, matplotlib, seaborn",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN02-2nd-4Team
35,SK네트웍스 Family AI 캠프,2,교과목실습2,음악 스트리밍 회사 고객 데이터를 기반으로 고객 이탈 여부를 예측하는 머신러닝 모델 구현 프로젝트,"음악 스트리밍 회사의 고객 이탈률을 줄이기 위해 고객이 이탈할지 예측하는 모델을 구축하고자 한다. 확보한 125,000개 데이터를 train, validation, test로 분할하고, 이상치 처리와 하이퍼파라미터 튜닝을 거쳐 여러 모델의 성능을 비교한다. 로지스틱 회귀, 랜덤포레스트, XGBoost, CatBoost, MLP 등을 활용하여 안정적인 고객 이탈 예측 가능성을 확인하는 것을 목표로 한다.",,"Logistic Regression, RandomForest, XGBoost, CatBoost, MLP, 신경망, Grid Search, IQR, train-test split",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN02-2nd-5Team
36,SK네트웍스 Family AI 캠프,2,교과목실습3,GPT와 LangChain을 활용해 응급상황별 올바른 응급처치 방법과 응급실 방문 필요 여부를 안내하는 AI 챗봇 프로젝트입니다.,"일상에서 응급처치 방법을 모르거나 올바른 방법인지 확신하기 어려운 문제와 경증환자의 응급실 방문 문제를 배경으로 한다. MSD 매뉴얼 홈페이지에서 수집한 응급처치 데이터를 기반으로 RAG 체인을 구성하고, 사용자의 텍스트 또는 음성 질문에 대해 관련 응급처치 정보를 제공하는 챗봇을 구현하였다. LangChain과 Streamlit을 사용해 웹 기반 챗봇을 제작하고, 응급상황 관련 질문에 적절히 답변하도록 하는 것이 목표이다.",MSD 매뉴얼 홈페이지 응급상황별 조치 텍스트 크롤링 데이터 및 PDF 데이터,"Python, OpenAI GPT API, GPT-4o mini, whisper-1, LangChain, RAG, ChromaDB, Streamlit, RecursiveCharacterTextSplitter, pyaudio, pypdf, fpdf2, tiktoken, Python-dotenv",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN02-3rd-1Team
37,SK네트웍스 Family AI 캠프,2,교과목실습3,재경 직무 질의응답 데이터셋과 LLM을 활용해 내외부 문서 기반 재경 업무 QnA 웹 서비스를 구현하는 프로젝트,"현직 회계사들이 기업 회계 감사 과정에서 내부 재경 담당자의 빈번하고 사소한 실수로 불편을 겪는 문제를 배경으로 한다. 재경 직무 관련 기출문제 PDF를 크롤링해 JSON으로 변환하고, 전처리한 데이터셋을 모델에 학습시켜 질의응답 결과를 테스트한다. 최종적으로 현직 재경 업무 담당자의 올바른 의사 결정을 돕는 웹 서비스를 목표로 한다.",재경 직무 관련 기출문제 PDF 크롤링 데이터,"Python, Pandas, PyTorch, OpenAI, Llama3, Streamlit, Git, GitHub, Visual Studio Code",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN02-3rd-2Team
38,SK네트웍스 Family AI 캠프,2,교과목실습3,Chroma DB 기반 vectorstore와 OpenAI 키를 사용해 착한가격업소 관련 프로젝트를 웹 또는 노트북에서 실행하는 프로젝트,README는 프로젝트 실행을 위해 명세서 기반 환경 설정과 Streamlit 파일 또는 Jupyter Notebook 파일을 이용한 실행 방법을 안내한다. 핵심 기능은 chroma_store와 openAI_KEY를 준비한 뒤 vectorstore를 직접 임베딩하거나 저장된 Chroma DB를 불러와 사용하는 것이다. 처리 속도와 정확성을 위해 제공된 vector_store_5 사용을 권장한다.,,"Streamlit, Chroma DB, OpenAI API, Google Colab",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN02-3rd-3Team
39,SK네트웍스 Family AI 캠프,2,교과목실습3,2024년 인공지능 산업 최신 동향 정보를 검색하고 질문에 답변하는 LLM·LangChain 기반 챗봇 서비스입니다.,사용자들이 2024년 현재까지의 인공지능 산업 최신 동향을 신속하고 효율적으로 파악할 수 있도록 맞춤형 정보 검색 및 챗봇 서비스 시스템을 구축하고자 한 프로젝트입니다. 대규모 언어 모델(LLM)과 LangChain을 활용해 사용자가 필요로 하는 정보를 정확하게 필터링하고 제공하는 기능을 구현하는 것을 목표로 합니다.,SPRi 소프트웨어 정책 연구소 AI Brief의 2024년 1~8월 인공지능 산업 최신 동향 PDF 파일,"Python, Streamlit, OpenAI, LangChain, Visual Studio Code, GitHub, Discord",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN02-3rd-4Team
40,SK네트웍스 Family AI 캠프,2,교과목실습3,SK매직 정수기 제품 사용 설명서를 기반으로 사용자의 질문에 AI가 실시간 답변을 제공하는 RAG 기반 대화형 사용자 매뉴얼 프로젝트입니다.,"이 프로젝트는 사용자가 제품 매뉴얼을 직접 읽는 불편함을 줄이고, 문서 정보를 기반으로 쉽게 대화할 수 있는 챗봇을 제공하는 것을 목표로 합니다. 다양한 PDF 문서를 처리해 중요한 정보를 추출하고, OpenAI 언어 모델과 RAG 기술을 활용해 사용자 질문에 실시간으로 답변합니다. Streamlit 기반 웹 애플리케이션으로 구현되었으며, 프롬프트 개선과 히스토리 기능 등을 통해 답변 정확도와 대화 맥락 유지를 개선했습니다.",SK매직 서비스 센터 제공 정수기 제품 사용 설명서,"Python, VSCode, Google Colab, Git, GitHub, OpenAI, LangChain, Streamlit, RAG",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN02-3rd-5Team
41,SK네트웍스 Family AI 캠프,2,교과목실습4,SK Networks의 직무·직군 및 기업 정보에 대한 질문에 답변하는 웹사이트와 챗봇을 개발하는 프로젝트입니다.,"취업 준비생이 기업 직무와 직군 정보를 직접 검색하고 정리해야 하는 수고를 줄이기 위해 기획되었습니다. SK Networks로 범위를 한정하여 직무·직군, 기업 정보 관련 질문에 답변하고, 존재하지 않는 정보나 무관한 질문에는 답변하지 않는 챗봇 기능을 구현하는 것을 목표로 합니다.",SK Networks careers 웹사이트 크롤링 데이터,"HTML, CSS, JavaScript, Bootstrap, Django, LangChain, OpenAI, ChromaDB, DuckDuckGo, ConditionalSearch, PromptTemplate, RAG Chain, ChatOpenAI, Visual Studio Code, GitHub, Git, Discord, Python",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN02-4th-1Team
